Time,proton_density,numden_p_uncer,proton_bulk_speed,bulk_p_uncer,proton_xvelocity,proton_yvelocity,proton_zvelocity,proton_thermal,thermal_p_uncer,alpha_density,numden_a_uncer,alpha_bulk_speed,bulk_a_uncer,alpha_thermal,thermal_a_uncer,spacecraft_xpos,spacecraft_ypos,spacecraft_zpos
63919497627619.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,34.23524049341985,22.047329639091174,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1285748.110108233,437515.30011403107,-75418.18991491327
63919497632619.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,30.377938486699854,11.281132801174444,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1285748.2638282306,437516.3391097183,-75418.0113732004
63919497637619.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,28.067638336469983,21.58048100235453,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1285748.4175556723,437517.3781453749,-75417.83282394928
63919497642619.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,41.28046345144591,19.099852611855667,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1285748.5712813407,437518.4171586472,-75417.65427780192
63919497647619.0,4.0277500068801295,-1e+31,433.31230184362056,-1e+31,-433.31230184362056,37.31782376829403,34.87221200177791,48.88248047559124,-1e+31,0.32178653783973454,-1e+31,369.09264313486455,-1e+31,43.70828346811296,-1e+31,1285748.7250083378,437519.4561700542,-75417.47573126666
63919497652619.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,42.81828188494684,38.96032288322637,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1285748.87874283,437520.49522080726,-75417.29717714142
63919497657619.0,3.8816457959187245,-1e+31,433.4821750303833,-1e+31,-433.4821750303833,37.7450030402852,27.65994321792435,49.47267568026413,-1e+31,0.34395619809877964,-1e+31,367.8875933232208,-1e+31,44.91998124407745,-1e+31,1285749.0324724887,437521.53422829986,-75417.11862975359
63919497662619.0,3.8466940209133273,-1e+31,433.55559924866566,-1e+31,-433.55559924866566,39.333504774987205,31.745867402192047,49.114614437518746,-1e+31,0.3074826619802984,-1e+31,368.23368724823973,-1e+31,41.258198116610444,-1e+31,1285749.1862033599,437522.5732339836,-75416.9400818983
63919497667619.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,24.10887156600915,26.23168728291118,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1285749.3399356466,437523.6122377314,-75416.76153363619
63919497672620.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,24.289485534482765,30.32741386631902,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1285749.4936723171,437524.651260455,-75416.58298140427
63919497677620.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,20.23386472908495,31.25456307730876,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1285749.647407187,437525.69026050565,-75416.40443229105
63919497682620.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,12.56620434231779,24.13570425002476,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1285749.8011464945,437526.7292794581,-75416.22587918356
63919497687620.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,22.976919746736513,22.933855241092047,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1285749.95488708,437527.7682965251,-75416.04732566327
63919497692620.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,35.0514130265052,29.211526445626873,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1285750.108625927,437528.8072909189,-75415.86877531919
63919497697620.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,18.353483030851045,17.071866402904504,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1285750.2623660453,437529.8462834913,-75415.69022448431
63919497702620.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,18.509113679000734,23.873025949936633,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1285750.4161105894,437530.8852950146,-75415.51166965155
63919497707620.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,13.034955560362462,12.276859362240046,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1285750.5698533994,437531.92428382783,-75415.33311801893
63919497712620.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,37.085953681747384,30.233467431874345,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1285750.7236005631,437532.9632915428,-75415.15456234245
63919497717620.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,36.4396184954896,26.399820401019227,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1285750.8773459676,437534.00227663096,-75414.97600981075
63919497722620.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,33.57202488062448,24.610109097139585,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1285751.031095766,437535.041280658,-75414.79745334241
63919497727620.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,36.63853152019288,22.461418378740916,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1285751.1848407341,437536.08024121285,-75414.61890353227
63919497732620.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,34.46921903965486,17.825876187370923,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1285751.3385931435,437537.1192414777,-75414.4403461768
63919497737620.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,30.437613708365735,24.23618956440862,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1285751.4923468968,437538.1582398204,-75414.26178841648
